zsh: Нет такого файла или каталога: ./cmd/screener-core/screener-core
2025/09/19 23:04:50 logger.go:35: 2025-09-19T23:04:50+03:00 [INFO] logger initialized, output=screner.log
2025/09/19 23:04:50 main.go:60: 2025-09-19T23:04:50+03:00 [INFO] starting Screener Core - multi-exchange with shared channel
2025/09/19 23:04:50 error reading config file: open configs/screener-core.yaml: no such file or directory
2025/09/19 23:05:19 logger.go:35: 2025-09-19T23:05:19+03:00 [INFO] logger initialized, output=screner.log
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 541/582: WAVESUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 542/582: WAXPUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 543/582: WCTUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 544/582: WENUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 545/582: WIFUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 546/582: WLDUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 547/582: WLFIUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 548/582: WOOUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 549/582: XAIUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 550/582: XAUTUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 551/582: XCHUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 552/582: XCNUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 553/582: XCXUSDT
2025/09/19 23:05:24 main.go:121: 2025-09-19T23:05:24+03:00 [INFO] Bybit subscribe 554/582: XDCUSDT
2025/09/19 23:05:24 main.go:121: 2025-09-19T23:05:24+03:00 [INFO] Bybit subscribe 555/582: XECUSDT
2025/09/19 23:05:24 main.go:121: 2025-09-19T23:05:24+03:00 [INFO] Bybit subscribe 556/582: XIONUSDT
